,Date,Store,Month,Day,Year,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
0,1/10/2010,28,1,10,2010,1203080.41,0,85.2,3.001,126.2346,14.313
21,2/7/2010,28,2,7,2010,1399960.15,0,91.98,3.105,126.1392,14.18
27,3/9/2010,28,3,9,2010,1523410.71,0,83.12,3.087,126.1019355,14.18
23,3/12/2010,28,3,12,2010,1447916.29,0,43.33,3.041,126.7313333,14.313
32,4/6/2010,28,4,6,2010,1543678.02,0,81.39,2.941,126.1360645,14.099
34,5/11/2010,28,5,11,2010,1501663.26,0,65.49,3.129,126.4912903,14.313
40,6/8/2010,28,6,8,2010,1523101.38,0,92.95,3.123,126.0854516,14.18
46,7/5/2010,28,7,5,2010,1532893.22,0,70.15,3.127,126.2898,14.099
48,8/10/2010,28,8,10,2010,1334571.87,0,71.82,3.013,126.2791667,14.313
60,9/7/2010,28,9,7,2010,1340293.87,0,90.37,3.1,126.1518,14.18
10,10/9/2010,28,10,9,2010,1246062.17,1,83.63,3.044,126.1145806,14.18
4,10/12/2010,28,10,12,2010,1466164.49,0,50.01,3.203,126.7934,14.313
15,11/6/2010,28,11,6,2010,1348995.17,0,90.84,2.949,126.1119032,14.099
17,12/11/2010,28,12,11,2010,1266460.45,0,57.79,3.13,126.5461613,14.313
1,1/4/2011,28,1,4,2011,1336838.41,0,63.63,3.772,128.7199355,13.736
3,1/7/2011,28,1,7,2011,1319054.57,0,89.85,3.842,129.0894,13.503
22,2/9/2011,28,2,9,2011,1468871.49,0,93.66,3.798,129.3259355,13.503
19,2/12/2011,28,2,12,2011,1368130.35,0,52.5,3.701,129.8459667,12.89
25,3/6/2011,28,3,6,2011,1403779.25,0,71.81,4.031,129.0490323,13.736
29,4/2/2011,28,4,2,2011,1564897.32,0,45.14,3.348,127.7195806,14.021
30,4/3/2011,28,4,3,2011,1723736.91,0,51.72,3.674,128.26475,14.021
28,4/11/2011,28,4,11,2011,1576654.67,0,59.77,3.828,129.8051935,12.89
35,5/8/2011,28,5,8,2011,1523870.89,0,90.61,3.803,129.1846452,13.503
38,6/5/2011,28,6,5,2011,1515890.38,0,68.4,4.193,129.0444333,13.736
41,7/1/2011,28,7,1,2011,1402902.47,0,37.64,3.287,127.1917742,14.021
42,7/10/2011,28,7,10,2011,1557314.58,0,70.44,3.827,129.6938,12.89
52,8/4/2011,28,8,4,2011,1414713.5,0,64.47,4.003,128.8238065,13.736
54,8/7/2011,28,8,7,2011,1459655.85,0,89.9,3.705,129.1125,13.503
61,9/9/2011,28,9,9,2011,1310087.0,1,88.0,3.913,129.3686129,13.503
55,9/12/2011,28,9,12,2011,1467024.3,0,42.17,3.644,129.8555333,12.89
8,10/6/2011,28,10,6,2011,1339972.83,0,78.72,3.981,129.0357097,13.736
12,11/2/2011,28,11,2,2011,1397301.38,1,51.3,3.381,127.859129,14.021
13,11/3/2011,28,11,3,2011,1380836.35,0,57.75,3.818,128.3995,14.021
11,11/11/2011,28,11,11,2011,1402654.95,0,48.76,3.824,129.8167097,12.89
18,12/8/2011,28,12,8,2011,1218764.94,0,91.04,3.701,129.2015806,13.503
2,1/6/2012,28,1,6,2012,1245480.95,0,78.11,4.277,130.9592258,11.627
20,2/3/2012,28,2,3,2012,1451740.57,0,52.27,4.178,130.6457931,12.187
24,3/2/2012,28,3,2,2012,1531599.44,0,50.58,3.702,130.3496774,12.187
26,3/8/2012,28,3,8,2012,1376520.1,0,88.16,3.76,130.737871,10.926
31,4/5/2012,28,4,5,2012,1450628.85,0,76.03,4.171,131.136,11.627
33,5/10/2012,28,5,10,2012,1462941.03,0,81.61,3.966,131.0756667,10.199
36,6/1/2012,28,6,1,2012,1466046.07,0,50.43,3.599,130.1575161,12.187
37,6/4/2012,28,6,4,2012,1559592.79,0,64.05,4.121,131.0375484,11.627
39,6/7/2012,28,6,7,2012,1500863.54,0,89.13,3.765,130.7196333,10.926
47,7/9/2012,28,7,9,2012,1469693.99,1,88.52,4.124,130.9325484,10.926
43,7/13/2012,28,7,13,2012,1672352.29,0,49.47,2.962,126.4420645,13.975
44,7/20/2012,28,7,20,2012,1558968.49,1,47.87,2.946,126.4962581,13.975
45,7/27/2012,28,7,27,2012,1491300.42,0,54.83,2.915,126.5262857,13.975
53,8/6/2012,28,8,6,2012,1440687.69,0,84.83,4.103,130.8896774,11.627
49,8/17/2012,28,8,17,2012,1542173.33,0,50.23,2.825,126.5522857,13.975
50,8/24/2012,28,8,24,2012,1608435.45,0,53.77,2.987,126.5782857,13.975
51,8/31/2012,28,8,31,2012,1326877.11,0,50.11,2.925,126.6042857,13.975
59,9/3/2012,28,9,3,2012,1680764.06,0,54.54,4.25,130.7413793,12.187
56,9/14/2012,28,9,14,2012,1279819.43,0,59.57,3.054,126.6066452,13.975
57,9/21/2012,28,9,21,2012,1245268.77,0,60.06,3.083,126.6050645,13.975
58,9/28/2012,28,9,28,2012,1441559.4,0,59.84,3.086,126.6034839,14.099
6,10/2/2012,28,10,2,2012,1572966.15,1,52.27,3.722,130.3849032,12.187
9,10/8/2012,28,10,8,2012,1269113.41,0,95.91,3.811,130.7561613,10.926
5,10/19/2012,28,10,19,2012,1382359.21,0,59.25,3.09,126.6019032,14.099
7,10/26/2012,28,10,26,2012,1268240.66,0,64.95,3.109,126.5621,14.099
14,11/5/2012,28,11,5,2012,1264575.18,0,77.27,4.186,131.1453333,11.627
16,12/10/2012,28,12,10,2012,1205536.71,0,71.74,4.468,131.1083333,10.199
